,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
3232086,2012-01-01,15.113,0.665,Irvine,United States,32.95N,117.77W,2012
3232098,2013-01-01,13.404000000000002,0.552,Irvine,United States,32.95N,117.77W,2013
3234411,2012-01-01,9.359,0.204,Irving,United States,32.95N,96.70W,2012
3234423,2013-01-01,8.597999999999999,0.253,Irving,United States,32.95N,96.70W,2013
3327070,2012-01-01,10.626,0.322,Jackson,United States,32.95N,90.96W,2012
3327082,2013-01-01,9.179,0.322,Jackson,United States,32.95N,90.96W,2013
3330309,2012-01-01,15.352,0.349,Jacksonville,United States,29.74N,81.23W,2012
3330321,2013-01-01,18.07,0.251,Jacksonville,United States,29.74N,81.23W,2013
3398778,2012-01-01,-0.0409999999999999,0.493,Jersey City,United States,40.99N,74.56W,2012
3398790,2013-01-01,-0.968,0.29,Jersey City,United States,40.99N,74.56W,2013
3511115,2012-01-01,-1.106,0.385,Joliet,United States,40.99N,87.34W,2012
3511127,2013-01-01,-2.539,0.285,Joliet,United States,40.99N,87.34W,2013
3633994,2012-01-01,1.484,0.326,Kansas City,United States,39.38N,93.64W,2012
3634006,2013-01-01,-0.0910000000000002,0.318,Kansas City,United States,39.38N,93.64W,2013
3828632,2012-01-01,10.494000000000002,0.228,Killeen,United States,31.35N,98.01W,2012
3828644,2013-01-01,9.555,0.301,Killeen,United States,31.35N,98.01W,2013
3897582,2012-01-01,4.648,0.285,Knoxville,United States,36.17N,83.54W,2012
3897594,2013-01-01,4.6560000000000015,0.631,Knoxville,United States,36.17N,83.54W,2013
4096607,2012-01-01,15.12,0.421,Lafayette,United States,29.74N,92.31W,2012
4096619,2013-01-01,13.67,0.425,Lafayette,United States,29.74N,92.31W,2013
4116207,2012-01-01,0.7640000000000002,0.4589999999999999,Lakewood,United States,39.38N,104.05W,2012
4116219,2013-01-01,-2.138,0.305,Lakewood,United States,39.38N,104.05W,2013
4133188,2012-01-01,11.581,0.6940000000000001,Lancaster,United States,34.56N,118.70W,2012
4133200,2013-01-01,8.812999999999999,0.6509999999999999,Lancaster,United States,34.56N,118.70W,2013
4138745,2012-01-01,-1.763,0.412,Lansing,United States,42.59N,85.09W,2012
4138757,2013-01-01,-2.77,0.1969999999999999,Lansing,United States,42.59N,85.09W,2013
4149435,2012-01-01,14.36,0.521,Laredo,United States,28.13N,99.09W,2012
4149447,2013-01-01,13.734000000000002,0.319,Laredo,United States,28.13N,99.09W,2013
4158961,2012-01-01,8.055,0.53,Las Vegas,United States,36.17N,115.36W,2012
4158973,2013-01-01,5.335,0.291,Las Vegas,United States,36.17N,115.36W,2013
4236157,2012-01-01,3.742,0.33,Lexington Fayette,United States,37.78N,85.42W,2012
4236169,2013-01-01,2.777,0.2019999999999999,Lexington Fayette,United States,37.78N,85.42W,2013
4273410,2012-01-01,-0.6729999999999999,0.45,Lincoln,United States,40.99N,95.86W,2012
4273422,2013-01-01,-3.213,0.4029999999999999,Lincoln,United States,40.99N,95.86W,2013
4305661,2012-01-01,7.877999999999999,0.211,Little Rock,United States,34.56N,91.46W,2012
4305673,2013-01-01,6.409000000000002,0.204,Little Rock,United States,34.56N,91.46W,2013
4341026,2012-01-01,15.113,0.665,Long Beach,United States,32.95N,117.77W,2012
4341038,2013-01-01,13.404000000000002,0.552,Long Beach,United States,32.95N,117.77W,2013
4358704,2012-01-01,11.581,0.6940000000000001,Los Angeles,United States,34.56N,118.70W,2012
4358716,2013-01-01,8.812999999999999,0.6509999999999999,Los Angeles,United States,34.56N,118.70W,2013
4372557,2012-01-01,3.742,0.33,Louisville,United States,37.78N,85.42W,2012
4372569,2013-01-01,2.777,0.2019999999999999,Louisville,United States,37.78N,85.42W,2013
4377689,2012-01-01,-2.645,0.411,Lowell,United States,42.59N,72.00W,2012
4377701,2013-01-01,-4.14,0.355,Lowell,United States,42.59N,72.00W,2013
4392070,2012-01-01,7.005000000000001,0.315,Lubbock,United States,32.95N,102.45W,2012
4392082,2013-01-01,5.0760000000000005,0.252,Lubbock,United States,32.95N,102.45W,2013
4495802,2012-01-01,-3.686,0.509,Madison,United States,42.59N,89.45W,2012
4495814,2013-01-01,-5.452000000000001,0.261,Madison,United States,42.59N,89.45W,2013
4594582,2012-01-01,-2.645,0.411,Manchester,United States,42.59N,72.00W,2012
4594594,2013-01-01,-4.14,0.355,Manchester,United States,42.59N,72.00W,2013
